allele,genbankNucleotideAccession,genbankProteinAccession,refseqNucleotideAccession,refseqProteinAccession,ncbiFamily,expectedPhenotype,class,subclass,extendedAnnotation,nodeId,geneFamily,tier,mrsnSuperFamily
,EU408346.1,ACH58980.1,NG_047484.1,WP_063842263.1,blaLRA-1,Beta-lactam: Unknown,Beta-lactam,Unknown,LRA1 family class A beta-lactamase,blaLRA-1,blaLRA1,3,blaLRA
,EU408358.1,ACH59002.1,NG_047485.1,WP_063842268.1,blaLRA-5,Beta-lactam: Unknown,Beta-lactam,Unknown,LRA5 family class A beta-lactamase,blaLRA-5,blaLRA5,3,blaLRA
,FN640464.1,CBI71171.1,NG_047486.1,WP_063842272.1,bla-A2,Beta-lactam: Unknown,Beta-lactam,Unknown,"class A beta-lactamase, subclass A2",bla-A2,bla,3,blaA
,FN640466.1,CBI71182.1,NG_047487.1,WP_063842277.1,bla-A,Beta-lactam: Unknown,Beta-lactam,Unknown,class A beta-lactamase,bla-A,bla,3,blaA
,L25634.1,AAA19882.1,NG_047497.1,WP_063842628.1,blaF,Beta-lactam: Unknown,Beta-lactam,Unknown,class A beta-lactamase,blaF,blaF,3,blaF
,AJ251814.1,CAB63488.1,NG_047502.1,WP_063842669.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,AJ251815.1,CAB63489.1,NG_047503.1,WP_063842676.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,AJ272109.1,CAB75346.1,NG_047504.1,WP_063842682.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,AJ291672.1,CAC15063.1,NG_047505.1,WP_063842688.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,AB294542.1,BAF47404.1,NG_047506.1,WP_063842689.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126050.1,ABO60985.1,NG_047508.1,WP_063842690.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126053.1,ABO60988.1,NG_047509.1,WP_063842691.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126054.1,ABO60989.1,NG_047510.1,WP_063842692.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126056.1,ABO60991.1,NG_047511.1,WP_063842693.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126058.1,ABO60993.1,NG_047512.1,WP_063842694.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126059.1,ABO60994.1,NG_047513.1,WP_063842695.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126061.1,ABO60996.1,NG_047514.1,WP_063842696.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126063.1,ABO60998.1,NG_047515.1,WP_063842697.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126065.1,ABO61000.1,NG_047516.1,WP_063842698.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF601224.1,ABW87257.1,NG_047517.1,WP_063842699.1,blaL1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,L1 family subclass B3 metallo-beta-lactamase,blaL1,blaL1,2,blaL
,EF126086.2,ABO61021.2,NG_047518.1,WP_063842700.1,blaL2,Beta-lactam: ESBL,Beta-lactam,ESBL,L2 family extended-spectrum class A beta-lactamase,blaL2,blaL2,2,blaL
,EU408347.1,ACH58985.1,NG_047519.1,WP_063842701.1,blaLRA-2,Beta-lactam: Unknown,Beta-lactam,Unknown,LRA2 family subclass B3 metallo-beta-lactamase,blaLRA-2,blaLRA2,3,blaLRA
,EU408348.1,ACH58987.1,NG_047520.1,WP_063842702.1,blaLRA-3,Beta-lactam: Unknown,Beta-lactam,Unknown,LRA3 family subclass B3 metallo-beta-lactamase,blaLRA-3,blaLRA3,3,blaLRA
,EU408349.1,ACH58988.1,NG_047521.1,WP_063842703.1,blaLRA-8,Beta-lactam: Unknown,Beta-lactam,Unknown,LRA8 family subclass B3 metallo-beta-lactamase,blaLRA-8,blaLRA8,3,blaLRA
,EU408350.1,ACH58989.1,NG_047522.1,WP_063842704.1,blaLRA-9,Beta-lactam: Unknown,Beta-lactam,Unknown,LRA9 family subclass B3 metallo-beta-lactamase,blaLRA-9,blaLRA9,3,blaLRA
,EU408351.1,ACH58990.1,NG_047523.1,WP_063842707.1,blaLRA-12,Beta-lactam: Unknown,Beta-lactam,Unknown,LRA12 family subclass B3 metallo-beta-lactamase,blaLRA-12,blaLRA12,3,blaLRA
,EU408354.1,ACH58994.1,NG_047524.1,WP_063842712.1,blaLRA-17,Beta-lactam: Unknown,Beta-lactam,Unknown,LRA17 family subclass B3 metallo-beta-lactamase,blaLRA-17,blaLRA17,3,blaLRA
,EU408359.1,ACH59005.1,NG_047525.1,WP_063842717.1,blaLRA-19,Beta-lactam: Unknown,Beta-lactam,Unknown,LRA19 family subclass B3 metallo-beta-lactamase,blaLRA-19,blaLRA19,3,blaLRA
,HQ605913.1,AEC04637.1,NG_047526.1,WP_063842724.1,blaM-1,Beta-lactam: Unknown,Beta-lactam,Unknown,class A beta-lactamase,blaM-1,blaM,3,blaM-1
,AJ299421.1,CAC17149.1,NG_047527.1,WP_063842730.1,blaOCH,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",OCH family extended-spectrum class C beta-lactamase,blaOCH,blaOCH,3,blaOCH
blaOKP-B-115,DQ149135.1,AAZ79402.1,NG_047528.1,WP_063842745.1,blaOKP-B,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",OKP-B family broad-spectrum class A beta-lactamase OKP-B-115,blaOKP-B-115,blaOKP-B,3,blaOKP
blaOXY-2-14,AJ746226.1,CAG34106.1,NG_047529.1,WP_063842752.1,blaOXY-2,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase OXY-2-14,blaOXY-2-14,blaOXY,2,blaOXY
blaOXY-2-5,AJ746227.1,CAG34107.1,NG_047530.1,WP_063842759.1,blaOXY-2,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase OXY-2-5,blaOXY-2-5,blaOXY,2,blaOXY
,HE993884.1,CCM44120.1,NG_047535.1,WP_063842862.1,blaZ-mecC,Beta-lactam: Penicillins,Beta-lactam,Penicillins,mecC-type penicillin-hydrolyzing class A beta-lactamase BlaZ,blaZ-mecC,blaZ,3,blaZ
,AJ400722.1,CAB94803.1,NG_047536.1,WP_063842869.1,blaR1,Beta-lactam: Unknown,Beta-lactam,Unknown,beta-lactam sensor/signal transducer BlaR1,blaR1,blaR1,4,blaR
,X53650.1,CAA37699.1,NG_047541.1,WP_063842896.1,blaR39,Beta-lactam: Unknown,Beta-lactam,Unknown,class A beta-lactamase,blaR39,blaR39,3,blaR
cdiA-2,X77657.1,CAA54738.1,NG_047543.1,WP_063842905.1,cdiA,Beta-lactam: Unknown,Beta-lactam,Unknown,class A beta-lactamase CdiA-2,cdiA-2,cdiA,3,blaSED
blaSFB-1,AY590119.1,AAT90847.1,NG_047544.1,WP_063842911.1,blaSHW,Beta-lactam: Unknown,Beta-lactam,Unknown,SHW family subclass B1 metallo-beta-lactamase SFB-1,blaSFB-1,blaSHW,3,blaSHW
blaSLB-1,AY590118.1,AAT90846.1,NG_047545.1,WP_063842915.1,blaSHW,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,SHW family subclass B1 metallo-beta-lactamase SLB-1,blaSLB-1,blaSHW,3,blaSHW
,AF384203.2,AAK64454.1,NG_047547.1,WP_063842939.1,blaSRT,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",SRT/SST family class C beta-lactamase,blaSRT,blaSRT,3,blaSRT
,DQ308562.1,ABC33904.1,NG_047548.1,WP_063842944.1,blaSRT,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",SRT/SST family class C beta-lactamase,blaSRT,blaSRT,3,blaSRT
,AJ250876.1,CAC33832.1,NG_047549.1,WP_063842948.1,blaTHIN-B,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B3 metallo-beta-lactamase THIN-B,blaTHIN-B,blaTHIN-B,2,blaTHIN-B
,L26954.1,AAB00464.1,NG_047553.1,WP_063842962.1,ble-Sv,Other antimicrobial: Bleomycin,Other antimicrobial,Bleomycin,BLMA family bleomycin binding protein,ble-Sv,ble,3,ble
,A31900.1,CAA02068.1,NG_047554.1,WP_063842967.1,ble-Sv,Other antimicrobial: Bleomycin,Other antimicrobial,Bleomycin,BLMA family bleomycin binding protein,ble-Sv,ble,3,ble
,X52869.1,CAA37050.1,NG_047556.1,WP_063842998.1,ble-Sh,Other antimicrobial: Bleomycin,Other antimicrobial,Bleomycin,phleomycin/bleomycin binding protein Ble-Sh,ble-Sh,ble-Sh,3,ble
,L26955.1,AAB00461.1,NG_047560.1,WP_063843206.1,blmB,Other antimicrobial: Bleomycin,Other antimicrobial,Bleomycin,bleomycin family antibiotic N-acetyltransferase BlmB,blmB,blmB,3,blmAB
,M80346.1,AAC32027.1,NG_047561.1,WP_063843207.1,car(A),Macrolide,Macrolide,,ABC-F type ribosomal protection protein Car(A),car(A),car(A),3,car(A)
,M11587.1,AAA25655.1,NG_047569.1,WP_063843208.1,catA4,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-4 chloramphenicol O-acetyltransferase,catA4,catA,3,cat
,M58515.1,AAA26613.1,NG_047570.1,WP_063843209.1,catA8,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-8 chloramphenicol O-acetyltransferase,catA8,catA,3,cat
,M58516.1,AAA16529.1,NG_047571.1,WP_063843210.1,catA8,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-8 chloramphenicol O-acetyltransferase,catA8,catA,3,cat
,M64281.1,AAA26615.1,NG_047572.1,WP_063843211.1,catA7,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-7 chloramphenicol O-acetyltransferase,catA7,catA,3,cat
,JXOM01000580.1,KIX77046.1,NG_047581.1,WP_063843212.1,catA5,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-5 chloramphenicol O-acetyltransferase,catA5,catA,3,cat
,X99398.1,CAA67774.1,NG_047584.1,WP_063843217.1,catA1,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-1 chloramphenicol O-acetyltransferase,catA1,catA1,3,cat
,AF326777.3,AAL08441.1,NG_047585.1,WP_063843218.1,catA1,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-1 chloramphenicol O-acetyltransferase,catA1,catA1,3,cat
,M93113.1,AAA73865.1,NG_047589.1,WP_063843219.1,catA15,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-15 chloramphenicol acetyltransferase CatA15,catA15,catA15,3,cat
,M55620.1,AAA23215.1,NG_047590.1,WP_063843220.1,catA16,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-16 chloramphenicol O-acetyltransferase CatQ,catA16,catA16,3,cat
,AJ971089.6,CAO82974.1,NG_047591.1,WP_063843221.1,catA16,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-16 chloramphenicol O-acetyltransferase CatQ,catA16,catA16,3,cat
,X53797.1,CAA37806.1,NG_047593.1,WP_063843222.1,catA2,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-2 chloramphenicol O-acetyltransferase CatII,catA2,catA2,3,cat
,AJ878850.1,CAI47810.1,NG_047601.1,WP_063843223.1,catB10,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B chloramphenicol O-acetyltransferase CatB10,catB10,catB10,3,cat
,DQ343904.1,ABC69169.1,NG_047607.1,WP_063843224.1,catB3,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B-3 chloramphenicol O-acetyltransferase CatB3,catB3,catB3,3,cat
,DQ462519.1,ABF20240.1,NG_047608.1,WP_063843225.1,catB3,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B-3 chloramphenicol O-acetyltransferase CatB3,catB3,catB3,3,cat
,EF488369.1,ABP35557.1,NG_047609.1,WP_063843226.1,catB3,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B-3 chloramphenicol O-acetyltransferase CatB3,catB3,catB3,3,cat
,AM939644.1,CAP74085.1,NG_047610.1,WP_063843227.1,catB3,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B-3 chloramphenicol O-acetyltransferase CatB3,catB3,catB3,3,cat
,EU430601.1,ACA48664.1,NG_047611.1,WP_063843228.1,catB3,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B-3 chloramphenicol O-acetyltransferase CatB3,catB3,catB3,3,cat
catB6,AJ223604.1,CAA11473.1,NG_047613.1,WP_063843229.1,catB,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B-3 chloramphenicol O-acetyltransferase CatB6,catB6,catB,3,cat
,AF418284.1,AAM27273.1,NG_047617.1,WP_063843230.1,catB8,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B-3 chloramphenicol O-acetyltransferase CatB8,catB8,catB8,3,cat
,AY557339.1,AAS89471.1,NG_047618.1,WP_063843231.1,catB8,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B-3 chloramphenicol O-acetyltransferase CatB8,catB8,catB8,3,cat
,FJ460181.2,ACK43805.1,NG_047620.1,WP_063843232.1,catB8,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type B-3 chloramphenicol O-acetyltransferase CatB8,catB8,catB8,3,cat
,X15100.1,CAA33203.1,NG_047622.1,WP_063843233.1,catD,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,type A-11 chloramphenicol O-acetyltransferase CatD,catD,catD,3,cat
,AJ276030.1,CAB76925.1,NG_047628.1,WP_063843234.1,cepH,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",cephalosporin-hydrolyzing class C beta-lactamase CepH,cepH,cepH,3,cep
,X80277.1,CAA56561.1,NG_047629.1,WP_063843235.1,cepS,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",cephalosporin-hydrolyzing class C beta-lactamase CepS,cepS,cepS,3,cep
cfiA11,AY372695.1,AAR04097.1,NG_047630.1,WP_063843236.1,cfiA_fam,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B1 metallo-beta-lactamase CfiA11,cfiA11,cfiA,2,cfiA
,U38243.1,AAB17891.1,NG_047633.1,WP_063843237.1,cfxA,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",broad-spectrum class A beta-lactamase CfxA,cfxA,cfxA,3,cfx
,AF504909.1,AAM48116.1,NG_047635.1,WP_063843238.1,cfxA_fam,Beta-lactam: Unknown,Beta-lactam,Unknown,CfxA family broad-spectrum class A beta-lactamase,cfxA_fam,cfxA,3,cfx
,AF504915.1,AAM48122.1,NG_047636.1,WP_063843239.1,cfxA_fam,Beta-lactam: Unknown,Beta-lactam,Unknown,CfxA family broad-spectrum class A beta-lactamase,cfxA_fam,cfxA,3,cfx
,AF504917.1,AAM48124.1,NG_047637.1,WP_063843240.1,cfxA_fam,Beta-lactam: Unknown,Beta-lactam,Unknown,CfxA family broad-spectrum class A beta-lactamase,cfxA_fam,cfxA,3,cfx
,AF504918.1,AAM48125.1,NG_047638.1,WP_063843241.1,cfxA_fam,Beta-lactam: Unknown,Beta-lactam,Unknown,CfxA family broad-spectrum class A beta-lactamase,cfxA_fam,cfxA,3,cfx
,AF504910.1,AAM48117.1,NG_047639.1,WP_063843242.1,cfxA2,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase CfxA2,cfxA2,cfxA2,2,cfx
,AF504914.1,AAM48121.1,NG_047640.1,WP_063843243.1,cfxA2,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase CfxA2,cfxA2,cfxA2,2,cfx
,AY509120.1,AAS79458.1,NG_047645.1,WP_063843245.1,chrB_rRNA_meth,Macrolide,Macrolide,,23S rRNA (guanine(748)-N(1))-methyltransferase ChrB,chrB_rRNA_meth,chrB,3,chr
,AF156486.1,AAF27726.1,NG_047650.1,WP_063843246.1,cmlA4,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,chloramphenicol efflux MFS transporter CmlA4,cmlA4,cmlA4,3,cml
,AJ867237.1,CAI29522.1,NG_047651.1,WP_063843247.1,cmlA4,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,chloramphenicol efflux MFS transporter CmlA4,cmlA4,cmlA4,3,cml
,U09991.1,,NG_047660.1,WP_063844229.1,cmlV,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,chloramphenicol efflux MFS transporter CmlV,cmlV,cmlV,3,cml
,Z12001.1,CAA78046.1,NG_047661.1,WP_063844234.1,cmrA,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,chloramphenicol efflux MFS transporter CmrA,cmrA,cmrA,3,cmrA
,AF015087.1,AAC45805.1,NG_047662.1,WP_063844243.1,cmrA,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,chloramphenicol efflux MFS transporter CmrA,cmrA,cmrA,3,cmrA
cphA3,AY112998.1,AAM63403.1,NG_047666.1,WP_063844281.1,cphA,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B2 metallo-beta-lactamase CphA3,cphA3,cphA,2,cph
,X57102.1,CAA40386.1,NG_047667.1,WP_063844282.1,cphA1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B2 metallo-beta-lactamase CphA1,cphA1,cphA1,2,cph
,AY261376.1,AAP97130.1,NG_047668.1,WP_063844283.1,cphA1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B2 metallo-beta-lactamase CphA1,cphA1,cphA1,2,cph
,AY261377.1,AAP97131.1,NG_047669.1,WP_063844284.1,cphA1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B2 metallo-beta-lactamase CphA1,cphA1,cphA1,2,cph
,AY261378.1,AAP97132.1,NG_047670.1,WP_063844285.1,cphA1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B2 metallo-beta-lactamase CphA1,cphA1,cphA1,2,cph
,AY261379.1,AAP97133.1,NG_047671.1,WP_063844286.1,cphA1,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B2 metallo-beta-lactamase CphA1,cphA1,cphA1,2,cph
,U09991.1,AAB36569.1,NG_047672.1,WP_063844287.1,cpt,Phenicol: Chloramphenicol,Phenicol,Chloramphenicol,chloramphenicol phosphotransferase CPT,cpt,cpt,3,cpt
,AJ400733.1,CAC19929.1,NG_047675.1,WP_063844288.1,dfr1_rpt,Trimethoprim,Trimethoprim,,trimethoprim-resistant repeat-containing dihydrofolate reductase DfrA1,dfr1_rpt,dfrA,3,dfr
,AJ238350.1,CAB41447.1,NG_047677.1,WP_063844289.1,dfrA1,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA1,dfrA1,dfrA1,3,dfr
,AJ419168.1,CAD11594.1,NG_047679.1,WP_063844290.1,dfrA1,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA1,dfrA1,dfrA1,3,dfr
,AY141977.1,AAN41648.1,NG_047680.1,WP_063844291.1,dfrA1,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA1,dfrA1,dfrA1,3,dfr
,DQ018382.1,AAY43143.1,NG_047681.1,WP_063844292.1,dfrA1,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA1,dfrA1,dfrA1,3,dfr
,AB199789.1,BAE16007.1,NG_047682.1,WP_063844293.1,dfrA1,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA1,dfrA1,dfrA1,3,dfr
,FM207631.1,CAR63502.1,NG_047683.1,WP_063844294.1,dfrA1,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA1,dfrA1,dfrA1,3,dfr
,FJ001872.1,ACJ22953.1,NG_047684.1,WP_063844295.1,dfrA1,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA1,dfrA1,dfrA1,3,dfr
,FJ489928.1,ACL27011.1,NG_047685.1,WP_063844296.1,dfrA1,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA1,dfrA1,dfrA1,3,dfr
,AY551331.1,AAT45231.1,NG_047687.1,WP_063844297.1,dfrA12,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA12,dfrA12,dfrA12,3,dfr
,AB196348.1,BAD77819.1,NG_047688.1,WP_063844298.1,dfrA12,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA12,dfrA12,dfrA12,3,dfr
,DQ995286.1,ABJ15828.1,NG_047690.1,WP_063844315.1,dfrA12,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA12,dfrA12,dfrA12,3,dfr
,FM877486.1,CAT00058.1,NG_047691.1,WP_063844321.1,dfrA12,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA12,dfrA12,dfrA12,3,dfr
,FN396377.1,CAZ44321.1,NG_047692.1,WP_063844329.1,dfrA12,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA12,dfrA12,dfrA12,3,dfr
dfrA13,Z50802.3,CAA90683.1,NG_047693.1,WP_063844334.1,dfrA12_A21,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA13,dfrA13,dfrA,3,dfr
,Z50805.1,CAA90688.1,NG_047694.1,WP_063844340.1,dfrA14,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA14,dfrA14,dfrA14,3,dfr
,DQ647028.2,ABG36698.1,NG_047703.1,WP_063844362.1,dfrA15,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA15,dfrA15,dfrA15,3,dfr
,AJ867237.1,CAI29521.1,NG_047704.1,WP_063844363.1,dfrA15,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA15,dfrA15,dfrA15,3,dfr
,AF077008.1,AAC32186.1,NG_047705.1,WP_063844364.1,dfrA16,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA16,dfrA16,dfrA16,3,dfr
,EU158182.1,ABW06431.1,NG_047708.1,WP_063844365.1,dfrA16,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA16,dfrA16,dfrA16,3,dfr
,AB196349.1,BAD77822.1,NG_047710.1,WP_063844366.1,dfrA17,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA17,dfrA17,dfrA17,3,dfr
,AM932673.1,CAP69686.1,NG_047711.1,WP_063844367.1,dfrA17,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA17,dfrA17,dfrA17,3,dfr
,FJ807902.1,ACO24447.1,NG_047712.1,WP_063844368.1,dfrA17,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA17,dfrA17,dfrA17,3,dfr
,AM937244.2,CAP72501.2,NG_047713.1,WP_063844369.1,dfrA17,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA17,dfrA17,dfrA17,3,dfr
,AJ968952.1,CAI92122.1,NG_047717.1,WP_063844370.1,dfrA22,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA22,dfrA22,dfrA22,3,dfr
,FM957884.1,CAX16467.1,NG_047718.1,WP_063844371.1,dfrA33,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA33,dfrA33,dfrA33,3,dfr
,AJ972619.1,CAI99385.1,NG_047720.1,WP_063844376.1,dfrA24,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA24,dfrA24,dfrA24,3,dfr
,AM403715.1,CAL48457.1,NG_047722.1,WP_063844381.1,dfrA26,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA26,dfrA26,dfrA26,3,dfr
dfrA28,FM877476.1,CAT00035.1,NG_047724.1,WP_063844392.1,dfrA,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA28,dfrA28,dfrA,3,dfr
,J03306.1,AAA25550.1,NG_047726.1,WP_063844403.1,dfrA3,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA3,dfrA3,dfrA3,3,dfr
,AM997279.2,CAQ53849.2,NG_047727.1,WP_063844408.1,dfrA30,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA30,dfrA30,dfrA30,3,dfr
,AY139589.1,AAN41408.1,NG_047732.1,WP_063844445.1,dfrA5,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA5,dfrA5,dfrA5,3,dfr
,Z86002.1,CAB06660.1,NG_047734.1,WP_063844458.1,dfrA6,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA6,dfrA6,dfrA6,3,dfr
,FJ905898.1,ACY06082.1,NG_047735.1,WP_063844461.1,dfrA46,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA46,dfrA46,dfrA46,3,dfr
,AJ884724.1,CAI57693.1,NG_047738.1,WP_063844472.1,dfrA7,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA7,dfrA7,dfrA7,3,dfr
,EU339235.1,ABY55284.1,NG_047739.1,WP_063844473.1,dfrA7,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA7,dfrA7,dfrA7,3,dfr
,FN563072.1,CBH31027.1,NG_047740.1,WP_063844474.1,dfrA7,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA7,dfrA7,dfrA7,3,dfr
,X57730.1,CAA40897.1,NG_047742.1,WP_063844475.1,dfrA9,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrA9,dfrA9,dfrA9,3,dfr
